Start Training
Train Epoch0 out_loss 0.399898886680603, R2 0.6012097597122192
Test Epoch0 layer0 out_loss 0.32321760058403015, R2 0.673052191734314
Train Epoch1 out_loss 0.32163068652153015, R2 0.6792609691619873
Test Epoch1 layer0 out_loss 0.3046347498893738, R2 0.6918495297431946
Train Epoch2 out_loss 0.3113817870616913, R2 0.6894814968109131
Test Epoch2 layer0 out_loss 0.2964363992214203, R2 0.700142502784729
Train Epoch3 out_loss 0.3049340546131134, R2 0.6959113478660583
Test Epoch3 layer0 out_loss 0.2921968102455139, R2 0.7044309973716736
Train Epoch4 out_loss 0.3004583418369293, R2 0.7003746032714844
Test Epoch4 layer0 out_loss 0.28853505849838257, R2 0.7081350088119507
Train Epoch5 out_loss 0.2940806448459625, R2 0.7067346572875977
Test Epoch5 layer0 out_loss 0.2827695906162262, R2 0.7139670848846436
Train Epoch6 out_loss 0.29073333740234375, R2 0.7100726366043091
Test Epoch6 layer0 out_loss 0.2815017104148865, R2 0.7152495384216309
Train Epoch7 out_loss 0.28629985451698303, R2 0.7144938707351685
Test Epoch7 layer0 out_loss 0.27806004881858826, R2 0.7187309265136719
Train Epoch8 out_loss 0.28351783752441406, R2 0.717268168926239
Test Epoch8 layer0 out_loss 0.27221593260765076, R2 0.7246425151824951
Train Epoch9 out_loss 0.2789839208126068, R2 0.7217894792556763
Test Epoch9 layer0 out_loss 0.27848950028419495, R2 0.7182965278625488
Train Epoch10 out_loss 0.27645841240882874, R2 0.7243080139160156
Test Epoch10 layer0 out_loss 0.27046048641204834, R2 0.7264181971549988
Train Epoch11 out_loss 0.2735261619091034, R2 0.7272321581840515
Test Epoch11 layer0 out_loss 0.26639217138290405, R2 0.7305334806442261
Train Epoch12 out_loss 0.2707403004169464, R2 0.7300102710723877
Test Epoch12 layer0 out_loss 0.2630394697189331, R2 0.7339248657226562
Train Epoch13 out_loss 0.2678225040435791, R2 0.7329199910163879
Test Epoch13 layer0 out_loss 0.27271342277526855, R2 0.7241392731666565
Train Epoch14 out_loss 0.26563072204589844, R2 0.7351057529449463
Test Epoch14 layer0 out_loss 0.258503258228302, R2 0.7385134100914001
Train Epoch15 out_loss 0.2644069194793701, R2 0.7363260984420776
Test Epoch15 layer0 out_loss 0.25942564010620117, R2 0.737580418586731
Train Epoch16 out_loss 0.26102548837661743, R2 0.7396981716156006
Test Epoch16 layer0 out_loss 0.25194916129112244, R2 0.7451431751251221
Train Epoch17 out_loss 0.25786158442497253, R2 0.7428532838821411
Test Epoch17 layer0 out_loss 0.25002264976501465, R2 0.7470918893814087
Train Epoch18 out_loss 0.25690722465515137, R2 0.7438049912452698
Test Epoch18 layer0 out_loss 0.25046464800834656, R2 0.7466447949409485
Train Epoch19 out_loss 0.2542561888694763, R2 0.7464486956596375
Test Epoch19 layer0 out_loss 0.24844928085803986, R2 0.7486834526062012
Train Epoch20 out_loss 0.25299957394599915, R2 0.74770188331604
Test Epoch20 layer0 out_loss 0.24515613913536072, R2 0.7520145773887634
Train Epoch21 out_loss 0.25067567825317383, R2 0.7500193119049072
Test Epoch21 layer0 out_loss 0.2534343898296356, R2 0.7436407804489136
Train Epoch22 out_loss 0.25088098645210266, R2 0.749814510345459
Test Epoch22 layer0 out_loss 0.2545706033706665, R2 0.7424914836883545
Train Epoch23 out_loss 0.24925486743450165, R2 0.751436173915863
Test Epoch23 layer0 out_loss 0.24377372860908508, R2 0.7534129619598389
Train Epoch24 out_loss 0.24724233150482178, R2 0.7534431219100952
Test Epoch24 layer0 out_loss 0.24196261167526245, R2 0.7552449703216553
Train Epoch25 out_loss 0.24569128453731537, R2 0.7549898624420166
Test Epoch25 layer0 out_loss 0.24131453037261963, R2 0.755900502204895
