Start Training
Train Epoch0 out_loss 0.5482142567634583, R2 0.4475604295730591
Test Epoch0 layer0 out_loss 0.31672748923301697, R2 0.692673921585083
Test Epoch0 layer1 out_loss 0.3031160235404968, R2 0.7058813571929932
Test Epoch0 layer2 out_loss 0.2900739014148712, R2 0.718536376953125
Test Epoch0 layer3 out_loss 0.2916940748691559, R2 0.7169642448425293
Test Epoch0 layer4 out_loss 0.29687678813934326, R2 0.7119354009628296
Test Epoch0 layer5 out_loss 0.30493617057800293, R2 0.7041152119636536
Test Epoch0 layer6 out_loss 0.31282997131347656, R2 0.696455717086792
Test Epoch0 layer7 out_loss 0.32989799976348877, R2 0.6798943281173706
Test Epoch0 layer8 out_loss 0.3502950668334961, R2 0.6601027250289917
Train Epoch1 out_loss 0.340589702129364, R2 0.656785249710083
Test Epoch1 layer0 out_loss 0.2987653911113739, R2 0.7101027965545654
Test Epoch1 layer1 out_loss 0.2721700966358185, R2 0.7359086871147156
Test Epoch1 layer2 out_loss 0.2695460319519043, R2 0.7384548783302307
Test Epoch1 layer3 out_loss 0.2731240391731262, R2 0.7349830865859985
Test Epoch1 layer4 out_loss 0.2726134955883026, R2 0.7354784607887268
Test Epoch1 layer5 out_loss 0.2779550552368164, R2 0.7302954196929932
Test Epoch1 layer6 out_loss 0.30142202973365784, R2 0.7075250148773193
Test Epoch1 layer7 out_loss 0.32660993933677673, R2 0.6830847859382629
Test Epoch1 layer8 out_loss 0.3690081238746643, R2 0.6419451236724854
Train Epoch2 out_loss 0.3410557806491852, R2 0.6563155651092529
Test Epoch2 layer0 out_loss 0.29689911007881165, R2 0.7119137048721313
Test Epoch2 layer1 out_loss 0.26142480969429016, R2 0.7463350296020508
Test Epoch2 layer2 out_loss 0.25517529249191284, R2 0.7523990273475647
Test Epoch2 layer3 out_loss 0.2615078091621399, R2 0.7462545037269592
Test Epoch2 layer4 out_loss 0.2658957540988922, R2 0.7419967651367188
Test Epoch2 layer5 out_loss 0.277219295501709, R2 0.7310093641281128
Test Epoch2 layer6 out_loss 0.3039466142654419, R2 0.7050753831863403
Test Epoch2 layer7 out_loss 0.3473632037639618, R2 0.6629475355148315
Test Epoch2 layer8 out_loss 0.3800547420978546, R2 0.6312264204025269
Train Epoch3 out_loss 0.3265892267227173, R2 0.670893669128418
Test Epoch3 layer0 out_loss 0.2926294803619385, R2 0.7160565853118896
Test Epoch3 layer1 out_loss 0.2570700943470001, R2 0.7505605220794678
Test Epoch3 layer2 out_loss 0.25694993138313293, R2 0.7506771087646484
Test Epoch3 layer3 out_loss 0.2694748640060425, R2 0.7385239601135254
Test Epoch3 layer4 out_loss 0.2775894105434418, R2 0.7306502461433411
Test Epoch3 layer5 out_loss 0.28545689582824707, R2 0.7230162620544434
Test Epoch3 layer6 out_loss 0.29001662135124207, R2 0.7185919284820557
Test Epoch3 layer7 out_loss 0.29284802079200745, R2 0.7158445715904236
Test Epoch3 layer8 out_loss 0.2910090982913971, R2 0.7176288962364197
Train Epoch4 out_loss 0.3074900805950165, R2 0.6901400089263916
Test Epoch4 layer0 out_loss 0.2864287495613098, R2 0.7220732569694519
Test Epoch4 layer1 out_loss 0.25578242540359497, R2 0.7518099546432495
Test Epoch4 layer2 out_loss 0.258197158575058, R2 0.7494668960571289
Test Epoch4 layer3 out_loss 0.2700809836387634, R2 0.7379357814788818
Test Epoch4 layer4 out_loss 0.27780142426490784, R2 0.7304445505142212
Test Epoch4 layer5 out_loss 0.28706493973731995, R2 0.721455991268158
Test Epoch4 layer6 out_loss 0.292073518037796, R2 0.7165960669517517
Test Epoch4 layer7 out_loss 0.2958696186542511, R2 0.7129126787185669
Test Epoch4 layer8 out_loss 0.2913926839828491, R2 0.7172566652297974
Train Epoch5 out_loss 0.31091421842575073, R2 0.6866894960403442
Test Epoch5 layer0 out_loss 0.2785007953643799, R2 0.7297658920288086
Test Epoch5 layer1 out_loss 0.24417062103748322, R2 0.7630770802497864
Test Epoch5 layer2 out_loss 0.2387543022632599, R2 0.7683326005935669
