Start Training
Train Epoch0 out_loss 0.3991926610469818, R2 0.6023699045181274
Test Epoch0 layer0 out_loss 0.3203546106815338, R2 0.6744924783706665
Test Epoch0 layer1 out_loss 0.31269994378089905, R2 0.6822702288627625
Test Epoch0 layer2 out_loss 0.3135219216346741, R2 0.6814349889755249
Train Epoch1 out_loss 0.29968124628067017, R2 0.7014918327331543
Test Epoch1 layer0 out_loss 0.3011503219604492, R2 0.6940056085586548
Test Epoch1 layer1 out_loss 0.27881255745887756, R2 0.7167026996612549
Test Epoch1 layer2 out_loss 0.27749061584472656, R2 0.7180458903312683
Train Epoch2 out_loss 0.2813734710216522, R2 0.7197278738021851
Test Epoch2 layer0 out_loss 0.29593488574028015, R2 0.6993049383163452
Test Epoch2 layer1 out_loss 0.27498361468315125, R2 0.7205932140350342
Test Epoch2 layer2 out_loss 0.27227091789245605, R2 0.7233495712280273
Train Epoch3 out_loss 0.2722502648830414, R2 0.7288154363632202
Test Epoch3 layer0 out_loss 0.29102686047554016, R2 0.7042919397354126
Test Epoch3 layer1 out_loss 0.26743990182876587, R2 0.7282582521438599
Test Epoch3 layer2 out_loss 0.2651336193084717, R2 0.7306016683578491
Train Epoch4 out_loss 0.2658745050430298, R2 0.7351662516593933
Test Epoch4 layer0 out_loss 0.2862512469291687, R2 0.7091443538665771
Test Epoch4 layer1 out_loss 0.2579239308834076, R2 0.7379273176193237
Test Epoch4 layer2 out_loss 0.25607141852378845, R2 0.7398096323013306
Train Epoch5 out_loss 0.2614765167236328, R2 0.7395470142364502
Test Epoch5 layer0 out_loss 0.2889452278614044, R2 0.7064070701599121
Test Epoch5 layer1 out_loss 0.27278292179107666, R2 0.7228293418884277
Test Epoch5 layer2 out_loss 0.26852571964263916, R2 0.7271549701690674
Train Epoch6 out_loss 0.25818580389022827, R2 0.7428247928619385
Test Epoch6 layer0 out_loss 0.27921169996261597, R2 0.7162971496582031
Test Epoch6 layer1 out_loss 0.2553440034389496, R2 0.7405487298965454
Test Epoch6 layer2 out_loss 0.2549605667591095, R2 0.7409383654594421
Train Epoch7 out_loss 0.25351887941360474, R2 0.7474734783172607
Test Epoch7 layer0 out_loss 0.283891499042511, R2 0.7115420699119568
Test Epoch7 layer1 out_loss 0.2539139986038208, R2 0.7420017719268799
Test Epoch7 layer2 out_loss 0.2538190484046936, R2 0.7420982122421265
