Start Training
Train Epoch0 out_loss 0.5894310474395752, R2 0.4145404100418091
Test Epoch0 layer0 out_loss 0.34197986125946045, R2 0.648234486579895
Test Epoch0 layer1 out_loss 0.325774610042572, R2 0.6649034023284912
Test Epoch0 layer2 out_loss 0.3218625485897064, R2 0.6689274311065674
Test Epoch0 layer3 out_loss 0.32351911067962646, R2 0.6672234535217285
Test Epoch0 layer4 out_loss 0.32374894618988037, R2 0.6669870615005493
Test Epoch0 layer5 out_loss 0.32778558135032654, R2 0.662834882736206
Test Epoch0 layer6 out_loss 0.32841789722442627, R2 0.662184476852417
Test Epoch0 layer7 out_loss 0.3351879417896271, R2 0.6552207469940186
Test Epoch0 layer8 out_loss 0.3420160114765167, R2 0.6481972932815552
Test Epoch0 layer9 out_loss 0.35691142082214355, R2 0.6328756213188171
Train Epoch1 out_loss 0.3584144115447998, R2 0.6440005302429199
Test Epoch1 layer0 out_loss 0.32325395941734314, R2 0.6674962043762207
Test Epoch1 layer1 out_loss 0.30322444438934326, R2 0.6880988478660583
Test Epoch1 layer2 out_loss 0.2991538345813751, R2 0.69228595495224
Test Epoch1 layer3 out_loss 0.30419686436653137, R2 0.6870986223220825
Test Epoch1 layer4 out_loss 0.310485303401947, R2 0.6806302070617676
Test Epoch1 layer5 out_loss 0.3206832706928253, R2 0.6701404452323914
Test Epoch1 layer6 out_loss 0.33128294348716736, R2 0.6592374444007874
Test Epoch1 layer7 out_loss 0.33857640624046326, R2 0.6517353057861328
Test Epoch1 layer8 out_loss 0.34391170740127563, R2 0.6462473273277283
Test Epoch1 layer9 out_loss 0.35023579001426697, R2 0.6397422552108765
Train Epoch2 out_loss 0.3443300127983093, R2 0.657990038394928
Test Epoch2 layer0 out_loss 0.3137315809726715, R2 0.6772910356521606
Test Epoch2 layer1 out_loss 0.28702083230018616, R2 0.7047661542892456
Test Epoch2 layer2 out_loss 0.2873925268650055, R2 0.7043837904930115
Test Epoch2 layer3 out_loss 0.2964526116847992, R2 0.6950644254684448
Test Epoch2 layer4 out_loss 0.31574293971061707, R2 0.6752221584320068
Test Epoch2 layer5 out_loss 0.33825206756591797, R2 0.6520689129829407
Test Epoch2 layer6 out_loss 0.34108051657676697, R2 0.6491595506668091
Test Epoch2 layer7 out_loss 0.3394479751586914, R2 0.6508387923240662
Test Epoch2 layer8 out_loss 0.336600124835968, R2 0.6537681221961975
Test Epoch2 layer9 out_loss 0.33391791582107544, R2 0.656527042388916
Train Epoch3 out_loss 0.3305976986885071, R2 0.671629786491394
Test Epoch3 layer0 out_loss 0.30836689472198486, R2 0.6828092336654663
Test Epoch3 layer1 out_loss 0.2794474959373474, R2 0.7125561833381653
Test Epoch3 layer2 out_loss 0.2752611041069031, R2 0.7168623208999634
Test Epoch3 layer3 out_loss 0.2751283049583435, R2 0.7169989347457886
Test Epoch3 layer4 out_loss 0.2771753966808319, R2 0.7148932814598083
Test Epoch3 layer5 out_loss 0.2830685079097748, R2 0.7088315486907959
Test Epoch3 layer6 out_loss 0.2881363332271576, R2 0.7036187052726746
Test Epoch3 layer7 out_loss 0.3038938045501709, R2 0.6874103546142578
Test Epoch3 layer8 out_loss 0.32101181149482727, R2 0.6698025465011597
Test Epoch3 layer9 out_loss 0.350036084651947, R2 0.6399476528167725
Train Epoch4 out_loss 0.2994060218334198, R2 0.7026113271713257
Test Epoch4 layer0 out_loss 0.3030070960521698, R2 0.6883224248886108
Test Epoch4 layer1 out_loss 0.2731810212135315, R2 0.7190019488334656
Test Epoch4 layer2 out_loss 0.2707553207874298, R2 0.7214970588684082
Test Epoch4 layer3 out_loss 0.273881733417511, R2 0.7182812094688416
Test Epoch4 layer4 out_loss 0.28102564811706543, R2 0.7109328508377075
Test Epoch4 layer5 out_loss 0.29094573855400085, R2 0.7007288932800293
Test Epoch4 layer6 out_loss 0.3011961281299591, R2 0.6901851892471313
Test Epoch4 layer7 out_loss 0.314614474773407, R2 0.6763828992843628
Test Epoch4 layer8 out_loss 0.3234126567840576, R2 0.6673329472541809
Test Epoch4 layer9 out_loss 0.3329814672470093, R2 0.6574903726577759
Train Epoch5 out_loss 0.3120359480381012, R2 0.6900665163993835
Test Epoch5 layer0 out_loss 0.3054603636264801, R2 0.6857989430427551
Test Epoch5 layer1 out_loss 0.2785065770149231, R2 0.7135239839553833
Test Epoch5 layer2 out_loss 0.27219316363334656, R2 0.7200180888175964
Test Epoch5 layer3 out_loss 0.277515172958374, R2 0.7145438194274902
Test Epoch5 layer4 out_loss 0.2914237082004547, R2 0.7002372741699219
Test Epoch5 layer5 out_loss 0.3000556230545044, R2 0.6913583278656006
Test Epoch5 layer6 out_loss 0.3043922483921051, R2 0.6868976354598999
Test Epoch5 layer7 out_loss 0.31489551067352295, R2 0.6760938167572021
Test Epoch5 layer8 out_loss 0.3245857357978821, R2 0.6661263108253479
Test Epoch5 layer9 out_loss 0.33748555183410645, R2 0.6528573632240295
Train Epoch6 out_loss 0.2927784323692322, R2 0.7091943025588989
Test Epoch6 layer0 out_loss 0.3017110824584961, R2 0.6896555423736572
Test Epoch6 layer1 out_loss 0.2708178162574768, R2 0.7214328050613403
Test Epoch6 layer2 out_loss 0.2680876553058624, R2 0.7242410182952881
Test Epoch6 layer3 out_loss 0.2704359292984009, R2 0.7218255996704102
Test Epoch6 layer4 out_loss 0.2733951807022095, R2 0.7187816500663757
Test Epoch6 layer5 out_loss 0.27699872851371765, R2 0.7150750160217285
Test Epoch6 layer6 out_loss 0.28391411900520325, R2 0.7079617381095886
Test Epoch6 layer7 out_loss 0.2972722053527832, R2 0.6942213773727417
Test Epoch6 layer8 out_loss 0.31501299142837524, R2 0.6759729385375977
Test Epoch6 layer9 out_loss 0.34321776032447815, R2 0.6469611525535583
Train Epoch7 out_loss 0.2885795533657074, R2 0.713364839553833
Test Epoch7 layer0 out_loss 0.2904368042945862, R2 0.7012524008750916
Test Epoch7 layer1 out_loss 0.2633558213710785, R2 0.7291083335876465
Test Epoch7 layer2 out_loss 0.26161080598831177, R2 0.7309032678604126
Test Epoch7 layer3 out_loss 0.2636210024356842, R2 0.7288355231285095
Test Epoch7 layer4 out_loss 0.26512014865875244, R2 0.7272934913635254
Test Epoch7 layer5 out_loss 0.2671482264995575, R2 0.7252073884010315
Test Epoch7 layer6 out_loss 0.26935791969299316, R2 0.7229344844818115
Test Epoch7 layer7 out_loss 0.275040864944458, R2 0.7170889377593994
Test Epoch7 layer8 out_loss 0.28417181968688965, R2 0.7076966762542725
Test Epoch7 layer9 out_loss 0.29117244482040405, R2 0.700495719909668
Train Epoch8 out_loss 0.2861403524875641, R2 0.7157876491546631
Test Epoch8 layer0 out_loss 0.2884637415409088, R2 0.7032818794250488
Test Epoch8 layer1 out_loss 0.259837806224823, R2 0.7327269911766052
Test Epoch8 layer2 out_loss 0.256978839635849, R2 0.7356677651405334
Test Epoch8 layer3 out_loss 0.25826960802078247, R2 0.7343400716781616
Test Epoch8 layer4 out_loss 0.25802066922187805, R2 0.7345961332321167
Test Epoch8 layer5 out_loss 0.25773337483406067, R2 0.7348916530609131
Test Epoch8 layer6 out_loss 0.2592172622680664, R2 0.7333652973175049
Test Epoch8 layer7 out_loss 0.26586997509002686, R2 0.7265222072601318
Test Epoch8 layer8 out_loss 0.2794990539550781, R2 0.7125031352043152
Test Epoch8 layer9 out_loss 0.29896941781044006, R2 0.6924756169319153
Train Epoch9 out_loss 0.2794376313686371, R2 0.7224451303482056
Test Epoch9 layer0 out_loss 0.29334914684295654, R2 0.6982567310333252
Test Epoch9 layer1 out_loss 0.26304301619529724, R2 0.729430079460144
Test Epoch9 layer2 out_loss 0.2648533284664154, R2 0.7275679111480713
Test Epoch9 layer3 out_loss 0.272229939699173, R2 0.7199802398681641
Test Epoch9 layer4 out_loss 0.2831913232803345, R2 0.7087051868438721
Test Epoch9 layer5 out_loss 0.283203661441803, R2 0.7086925506591797
Test Epoch9 layer6 out_loss 0.2784029245376587, R2 0.7136306166648865
Test Epoch9 layer7 out_loss 0.2711978256702423, R2 0.7210419178009033
Test Epoch9 layer8 out_loss 0.26637300848960876, R2 0.7260047793388367
Test Epoch9 layer9 out_loss 0.27273401618003845, R2 0.7194617390632629
Train Epoch10 out_loss 0.2712658941745758, R2 0.7305618524551392
Test Epoch10 layer0 out_loss 0.2846541702747345, R2 0.7072005271911621
Test Epoch10 layer1 out_loss 0.2543805241584778, R2 0.738340437412262
Test Epoch10 layer2 out_loss 0.2588830590248108, R2 0.7337090373039246
Test Epoch10 layer3 out_loss 0.2614317238330841, R2 0.7310874462127686
Test Epoch10 layer4 out_loss 0.27245646715164185, R2 0.7197472453117371
Test Epoch10 layer5 out_loss 0.2801944315433502, R2 0.7117878794670105
Test Epoch10 layer6 out_loss 0.2862646281719208, R2 0.7055439352989197
Test Epoch10 layer7 out_loss 0.2907727360725403, R2 0.7009068727493286
Test Epoch10 layer8 out_loss 0.2979932427406311, R2 0.6934797763824463
Test Epoch10 layer9 out_loss 0.3104764223098755, R2 0.6806393265724182
Train Epoch11 out_loss 0.27044299244880676, R2 0.7313792109489441
Test Epoch11 layer0 out_loss 0.2789110839366913, R2 0.7131079435348511
Test Epoch11 layer1 out_loss 0.2465093731880188, R2 0.7464368343353271
Test Epoch11 layer2 out_loss 0.24346663057804108, R2 0.7495666146278381
Test Epoch11 layer3 out_loss 0.24324621260166168, R2 0.7497933506965637
Test Epoch11 layer4 out_loss 0.24326176941394806, R2 0.7497773170471191
Test Epoch11 layer5 out_loss 0.24374543130397797, R2 0.7492798566818237
Test Epoch11 layer6 out_loss 0.24907374382019043, R2 0.743799090385437
Test Epoch11 layer7 out_loss 0.25825002789497375, R2 0.7343602180480957
Test Epoch11 layer8 out_loss 0.2737636864185333, R2 0.718402624130249
Test Epoch11 layer9 out_loss 0.28349924087524414, R2 0.7083884477615356
Train Epoch12 out_loss 0.2599756121635437, R2 0.7417760491371155
Test Epoch12 layer0 out_loss 0.27577486634254456, R2 0.7163338661193848
Test Epoch12 layer1 out_loss 0.24138440191745758, R2 0.751708447933197
Test Epoch12 layer2 out_loss 0.24311943352222443, R2 0.7499237060546875
Test Epoch12 layer3 out_loss 0.2428753674030304, R2 0.7501747608184814
Test Epoch12 layer4 out_loss 0.24399927258491516, R2 0.7490187287330627
Test Epoch12 layer5 out_loss 0.2428397536277771, R2 0.7502114176750183
Test Epoch12 layer6 out_loss 0.2454701066017151, R2 0.747505784034729
Test Epoch12 layer7 out_loss 0.24940067529678345, R2 0.7434628009796143
Test Epoch12 layer8 out_loss 0.2556881308555603, R2 0.7369953989982605
Test Epoch12 layer9 out_loss 0.2593398094177246, R2 0.7332392334938049
Train Epoch13 out_loss 0.2591891884803772, R2 0.742557168006897
Test Epoch13 layer0 out_loss 0.27325233817100525, R2 0.7189285755157471
Test Epoch13 layer1 out_loss 0.2390178143978119, R2 0.7541427612304688
Test Epoch13 layer2 out_loss 0.23883399367332458, R2 0.7543318271636963
Test Epoch13 layer3 out_loss 0.2401975691318512, R2 0.7529292106628418
Test Epoch13 layer4 out_loss 0.24232403934001923, R2 0.7507418990135193
Test Epoch13 layer5 out_loss 0.24455873668193817, R2 0.7484432458877563
Test Epoch13 layer6 out_loss 0.2506273686885834, R2 0.7422009706497192
Test Epoch13 layer7 out_loss 0.2600003182888031, R2 0.7325598001480103
Test Epoch13 layer8 out_loss 0.26721808314323425, R2 0.7251355051994324
Test Epoch13 layer9 out_loss 0.2742496430873871, R2 0.7179027795791626
Train Epoch14 out_loss 0.24765969812870026, R2 0.7540090084075928
Test Epoch14 layer0 out_loss 0.2700199484825134, R2 0.7222534418106079
Test Epoch14 layer1 out_loss 0.23551499843597412, R2 0.7577457427978516
Test Epoch14 layer2 out_loss 0.23541487753391266, R2 0.7578487396240234
Test Epoch14 layer3 out_loss 0.23468714952468872, R2 0.7585973143577576
Test Epoch14 layer4 out_loss 0.23541145026683807, R2 0.75785231590271
Test Epoch14 layer5 out_loss 0.23717625439167023, R2 0.7560369968414307
Test Epoch14 layer6 out_loss 0.24011947214603424, R2 0.753009557723999
Test Epoch14 layer7 out_loss 0.24220791459083557, R2 0.7508613467216492
Test Epoch14 layer8 out_loss 0.24561850726604462, R2 0.747353196144104
Test Epoch14 layer9 out_loss 0.24899129569530487, R2 0.7438838481903076
Train Epoch15 out_loss 0.24537187814712524, R2 0.7562813758850098
Test Epoch15 layer0 out_loss 0.27098044753074646, R2 0.7212654948234558
Test Epoch15 layer1 out_loss 0.23894242942333221, R2 0.7542202472686768
Test Epoch15 layer2 out_loss 0.23699289560317993, R2 0.7562255859375
Test Epoch15 layer3 out_loss 0.2373725175857544, R2 0.7558351159095764
Test Epoch15 layer4 out_loss 0.23770788311958313, R2 0.7554901838302612
Test Epoch15 layer5 out_loss 0.23717017471790314, R2 0.7560432553291321
Test Epoch15 layer6 out_loss 0.24030040204524994, R2 0.7528234720230103
Test Epoch15 layer7 out_loss 0.24394342303276062, R2 0.7490761876106262
Test Epoch15 layer8 out_loss 0.24669276177883148, R2 0.746248185634613
Test Epoch15 layer9 out_loss 0.248627707362175, R2 0.7442578077316284
Train Epoch16 out_loss 0.23920047283172607, R2 0.7624112367630005
Test Epoch16 layer0 out_loss 0.2644343078136444, R2 0.7279989719390869
Test Epoch16 layer1 out_loss 0.23025953769683838, R2 0.7631516456604004
Test Epoch16 layer2 out_loss 0.22975599765777588, R2 0.7636696100234985
Test Epoch16 layer3 out_loss 0.22929076850414276, R2 0.7641481161117554
Test Epoch16 layer4 out_loss 0.2299984246492386, R2 0.7634202241897583
Test Epoch16 layer5 out_loss 0.2305060625076294, R2 0.7628980278968811
Test Epoch16 layer6 out_loss 0.23317764699459076, R2 0.7601500153541565
Test Epoch16 layer7 out_loss 0.23721104860305786, R2 0.7560012340545654
Test Epoch16 layer8 out_loss 0.23958761990070343, R2 0.7535566091537476
Test Epoch16 layer9 out_loss 0.24020595848560333, R2 0.7529206275939941
Train Epoch17 out_loss 0.23324529826641083, R2 0.7683262825012207
Test Epoch17 layer0 out_loss 0.26409992575645447, R2 0.7283428907394409
Test Epoch17 layer1 out_loss 0.23353922367095947, R2 0.7597780823707581
Test Epoch17 layer2 out_loss 0.2343929260969162, R2 0.758899986743927
Test Epoch17 layer3 out_loss 0.23426370322704315, R2 0.7590328454971313
Test Epoch17 layer4 out_loss 0.23739874362945557, R2 0.7558081150054932
