Start Training
Train Epoch0 out_loss 1.8160066604614258, R2 -0.3621842861175537
Test Epoch0 layer0 out_loss 1.3177204132080078, R2 0.005409419536590576
Test Epoch0 layer1 out_loss 1.323050618171692, R2 0.0013863444328308105
Test Epoch0 layer2 out_loss 1.3324759006500244, R2 -0.0057277679443359375
Test Epoch0 layer3 out_loss 1.3527140617370605, R2 -0.021003127098083496
Test Epoch0 layer4 out_loss 1.3340040445327759, R2 -0.006881117820739746
Test Epoch0 layer5 out_loss 1.3258802890777588, R2 -0.0007494688034057617
Test Epoch0 layer6 out_loss 1.3250231742858887, R2 -0.00010263919830322266
Test Epoch0 layer7 out_loss 1.3263355493545532, R2 -0.001093149185180664
Test Epoch0 layer8 out_loss 1.3255022764205933, R2 -0.0004642009735107422
Test Epoch0 layer9 out_loss 1.325294852256775, R2 -0.0003076791763305664
Train Epoch1 out_loss 1.3362963199615479, R2 -0.002353191375732422
Test Epoch1 layer0 out_loss 1.3520866632461548, R2 -0.020529508590698242
Test Epoch1 layer1 out_loss 1.3418048620224, R2 -0.012769103050231934
Test Epoch1 layer2 out_loss 1.3864974975585938, R2 -0.04650223255157471
Test Epoch1 layer3 out_loss 1.351133108139038, R2 -0.019809842109680176
Test Epoch1 layer4 out_loss 1.326925277709961, R2 -0.0015381574630737305
Test Epoch1 layer5 out_loss 1.3338838815689087, R2 -0.0067903995513916016
Test Epoch1 layer6 out_loss 1.3271962404251099, R2 -0.001742720603942871
Test Epoch1 layer7 out_loss 1.3243404626846313, R2 0.0004127621650695801
Test Epoch1 layer8 out_loss 1.3266478776931763, R2 -0.0013288259506225586
Test Epoch1 layer9 out_loss 1.3309009075164795, R2 -0.004539012908935547
Train Epoch2 out_loss 1.336942434310913, R2 -0.002838134765625
Test Epoch2 layer0 out_loss 1.3265326023101807, R2 -0.001241922378540039
Test Epoch2 layer1 out_loss 1.3229954242706299, R2 0.0014279484748840332
Test Epoch2 layer2 out_loss 1.3271669149398804, R2 -0.0017205476760864258
Test Epoch2 layer3 out_loss 1.325518012046814, R2 -0.00047600269317626953
Test Epoch2 layer4 out_loss 1.3297128677368164, R2 -0.0036422014236450195
Test Epoch2 layer5 out_loss 1.324922800064087, R2 -2.682209014892578e-05
Test Epoch2 layer6 out_loss 1.3279502391815186, R2 -0.0023119449615478516
Test Epoch2 layer7 out_loss 1.3274308443069458, R2 -0.001919865608215332
Test Epoch2 layer8 out_loss 1.3246413469314575, R2 0.0001856088638305664
