Start Training
Train Epoch0 out_loss 1.5574514865875244, R2 -0.171484112739563
Test Epoch0 layer0 out_loss 1.3390562534332275, R2 0.0005179047584533691
Test Epoch0 layer1 out_loss 1.3390800952911377, R2 0.0005000829696655273
Test Epoch0 layer2 out_loss 1.3419678211212158, R2 -0.0016553401947021484
Test Epoch0 layer3 out_loss 1.3402960300445557, R2 -0.0004075765609741211
Test Epoch0 layer4 out_loss 1.3396021127700806, R2 0.00011044740676879883
Train Epoch1 out_loss 1.3337289094924927, R2 -0.003204822540283203
Test Epoch1 layer0 out_loss 1.3392572402954102, R2 0.00036782026290893555
Test Epoch1 layer1 out_loss 1.3388816118240356, R2 0.000648200511932373
Test Epoch1 layer2 out_loss 1.3402434587478638, R2 -0.0003682374954223633
Test Epoch1 layer3 out_loss 1.3403232097625732, R2 -0.0004277229309082031
Test Epoch1 layer4 out_loss 1.3422598838806152, R2 -0.0018733739852905273
Train Epoch2 out_loss 1.3346726894378662, R2 -0.0039147138595581055
Test Epoch2 layer0 out_loss 1.3351246118545532, R2 0.003452479839324951
Test Epoch2 layer1 out_loss 1.3382961750030518, R2 0.0010851621627807617
Test Epoch2 layer2 out_loss 1.339124083518982, R2 0.0004672408103942871
Test Epoch2 layer3 out_loss 1.340563178062439, R2 -0.0006068944931030273
Test Epoch2 layer4 out_loss 1.341287612915039, R2 -0.001147627830505371
Train Epoch3 out_loss 1.3378607034683228, R2 -0.006312251091003418
Test Epoch3 layer0 out_loss 1.335671305656433, R2 0.0030443668365478516
Test Epoch3 layer1 out_loss 1.3376528024673462, R2 0.0015654563903808594
Test Epoch3 layer2 out_loss 1.339134693145752, R2 0.00045925378799438477
Test Epoch3 layer3 out_loss 1.3564893007278442, R2 -0.012494325637817383
Test Epoch3 layer4 out_loss 1.3508001565933228, R2 -0.008247852325439453
Train Epoch4 out_loss 1.3327561616897583, R2 -0.002472400665283203
Test Epoch4 layer0 out_loss 1.1286647319793701, R2 0.15755575895309448
Test Epoch4 layer1 out_loss 1.0393410921096802, R2 0.2242276668548584
Test Epoch4 layer2 out_loss 1.0346773862838745, R2 0.227708637714386
Test Epoch4 layer3 out_loss 1.0907388925552368, R2 0.18586385250091553
Test Epoch4 layer4 out_loss 1.1854487657546997, R2 0.11517167091369629
Train Epoch5 out_loss 1.0198768377304077, R2 0.23286855220794678
Test Epoch5 layer0 out_loss 0.8225429058074951, R2 0.3860475420951843
Test Epoch5 layer1 out_loss 0.8123455047607422, R2 0.39365893602371216
Test Epoch5 layer2 out_loss 0.817889928817749, R2 0.389520525932312
Test Epoch5 layer3 out_loss 0.8307806253433228, R2 0.3798987865447998
Test Epoch5 layer4 out_loss 0.8388797640800476, R2 0.37385350465774536
Train Epoch6 out_loss 0.8314090967178345, R2 0.37463104724884033
Test Epoch6 layer0 out_loss 0.8439762592315674, R2 0.37004947662353516
Test Epoch6 layer1 out_loss 0.8577744364738464, R2 0.3597503900527954
Test Epoch6 layer2 out_loss 0.8515899181365967, R2 0.3643665909767151
Test Epoch6 layer3 out_loss 0.868831992149353, R2 0.35149693489074707
Test Epoch6 layer4 out_loss 0.8706343173980713, R2 0.3501516580581665
Train Epoch7 out_loss 0.7694539427757263, R2 0.4212319850921631
Test Epoch7 layer0 out_loss 0.7427955865859985, R2 0.44557154178619385
Test Epoch7 layer1 out_loss 0.745608925819397, R2 0.44347167015075684
Test Epoch7 layer2 out_loss 0.7317047119140625, R2 0.4538498520851135
Test Epoch7 layer3 out_loss 0.7355849742889404, R2 0.45095354318618774
Test Epoch7 layer4 out_loss 0.7429882884025574, R2 0.44542771577835083
Train Epoch8 out_loss 0.729828953742981, R2 0.45103752613067627
Test Epoch8 layer0 out_loss 0.8053962588310242, R2 0.398845911026001
Test Epoch8 layer1 out_loss 0.7829159498214722, R2 0.4156253933906555
Test Epoch8 layer2 out_loss 0.7805543541908264, R2 0.41738808155059814
Test Epoch8 layer3 out_loss 0.7756820917129517, R2 0.42102479934692383
Test Epoch8 layer4 out_loss 0.766571044921875, R2 0.42782533168792725
Train Epoch9 out_loss 0.7095136642456055, R2 0.4663175344467163
Test Epoch9 layer0 out_loss 0.6866174340248108, R2 0.4875033497810364
Test Epoch9 layer1 out_loss 0.7045811414718628, R2 0.47409510612487793
Test Epoch9 layer2 out_loss 0.6976550817489624, R2 0.4792647361755371
Test Epoch9 layer3 out_loss 0.6917171478271484, R2 0.4836968779563904
Test Epoch9 layer4 out_loss 0.6907117962837219, R2 0.48444730043411255
Train Epoch10 out_loss 0.6751460433006287, R2 0.4921685457229614
Test Epoch10 layer0 out_loss 0.7458612322807312, R2 0.4432832598686218
Test Epoch10 layer1 out_loss 0.7426639795303345, R2 0.4456697702407837
Test Epoch10 layer2 out_loss 0.7298955917358398, R2 0.4552001953125
Test Epoch10 layer3 out_loss 0.7387201189994812, R2 0.4486134648323059
Test Epoch10 layer4 out_loss 0.7734174132347107, R2 0.4227151870727539
Train Epoch11 out_loss 0.6635721325874329, R2 0.5008747577667236
Test Epoch11 layer0 out_loss 0.7431190013885498, R2 0.4453301429748535
Test Epoch11 layer1 out_loss 0.723549485206604, R2 0.4599369764328003
Test Epoch11 layer2 out_loss 0.690850555896759, R2 0.4843437075614929
Test Epoch11 layer3 out_loss 0.6927023530006409, R2 0.4829614758491516
Test Epoch11 layer4 out_loss 0.6759650707244873, R2 0.4954543709754944
Train Epoch12 out_loss 0.6362448334693909, R2 0.5214292407035828
Test Epoch12 layer0 out_loss 0.6865721940994263, R2 0.487537145614624
Test Epoch12 layer1 out_loss 0.6692615151405334, R2 0.5004579424858093
Test Epoch12 layer2 out_loss 0.6619679927825928, R2 0.5059019327163696
Test Epoch12 layer3 out_loss 0.6569588780403137, R2 0.5096406936645508
Test Epoch12 layer4 out_loss 0.6604834794998169, R2 0.5070099234580994
Train Epoch13 out_loss 0.6121268272399902, R2 0.539570689201355
Test Epoch13 layer0 out_loss 0.6055804491043091, R2 0.5479899644851685
Test Epoch13 layer1 out_loss 0.6032058596611023, R2 0.5497624278068542
Test Epoch13 layer2 out_loss 0.5731167793273926, R2 0.5722211003303528
Test Epoch13 layer3 out_loss 0.5778909921646118, R2 0.568657636642456
Test Epoch13 layer4 out_loss 0.5775472521781921, R2 0.5689141750335693
Train Epoch14 out_loss 0.6195753812789917, R2 0.5339678525924683
Test Epoch14 layer0 out_loss 0.7313807606697083, R2 0.4540916085243225
Test Epoch14 layer1 out_loss 0.6571731567382812, R2 0.5094807744026184
Test Epoch14 layer2 out_loss 0.6296440958976746, R2 0.5300287008285522
Test Epoch14 layer3 out_loss 0.6365848183631897, R2 0.5248481035232544
Test Epoch14 layer4 out_loss 0.6209851503372192, R2 0.5364917516708374
Train Epoch15 out_loss 0.6038148403167725, R2 0.5458225011825562
Test Epoch15 layer0 out_loss 0.7514745593070984, R2 0.4390934705734253
Test Epoch15 layer1 out_loss 0.8408323526382446, R2 0.3723961114883423
Test Epoch15 layer2 out_loss 0.8686004281044006, R2 0.3516697883605957
Test Epoch15 layer3 out_loss 0.8682560920715332, R2 0.3519268035888672
Test Epoch15 layer4 out_loss 0.8428901433944702, R2 0.37086015939712524
Train Epoch16 out_loss 0.5839201807975769, R2 0.5607868432998657
Test Epoch16 layer0 out_loss 0.6370622515678406, R2 0.5244917273521423
Test Epoch16 layer1 out_loss 0.6429144740104675, R2 0.5201236009597778
Test Epoch16 layer2 out_loss 0.6329222321510315, R2 0.5275818705558777
Test Epoch16 layer3 out_loss 0.6423851847648621, R2 0.5205186605453491
Test Epoch16 layer4 out_loss 0.6389535665512085, R2 0.5230799913406372
Train Epoch17 out_loss 0.5502418875694275, R2 0.5861192941665649
Test Epoch17 layer0 out_loss 0.5883312225341797, R2 0.5608649253845215
Test Epoch17 layer1 out_loss 0.5796694755554199, R2 0.5673301219940186
Test Epoch17 layer2 out_loss 0.5593035817146301, R2 0.5825313925743103
Test Epoch17 layer3 out_loss 0.5686624050140381, R2 0.5755459070205688
Test Epoch17 layer4 out_loss 0.5828961730003357, R2 0.5649217367172241
Train Epoch18 out_loss 0.5779646039009094, R2 0.565266489982605
Test Epoch18 layer0 out_loss 0.603418231010437, R2 0.5496038794517517
Test Epoch18 layer1 out_loss 0.5819017887115479, R2 0.5656639337539673
Test Epoch18 layer2 out_loss 0.5850704312324524, R2 0.5632988214492798
Test Epoch18 layer3 out_loss 0.5851394534111023, R2 0.5632473230361938
Test Epoch18 layer4 out_loss 0.5755531191825867, R2 0.5704026222229004
Train Epoch19 out_loss 0.5553551316261292, R2 0.5822728872299194
Test Epoch19 layer0 out_loss 0.5654721260070801, R2 0.5779271125793457
Test Epoch19 layer1 out_loss 0.564651370048523, R2 0.5785397291183472
Test Epoch19 layer2 out_loss 0.5436642169952393, R2 0.5942047834396362
Test Epoch19 layer3 out_loss 0.5422288179397583, R2 0.5952761173248291
Test Epoch19 layer4 out_loss 0.5448722243309021, R2 0.5933030843734741
Train Epoch20 out_loss 0.5476481914520264, R2 0.5880697965621948
Test Epoch20 layer0 out_loss 0.5646932721138, R2 0.5785084962844849
Test Epoch20 layer1 out_loss 0.5689826607704163, R2 0.5753068923950195
Test Epoch20 layer2 out_loss 0.5594754815101624, R2 0.5824030637741089
Test Epoch20 layer3 out_loss 0.5542640686035156, R2 0.5862929821014404
Test Epoch20 layer4 out_loss 0.5880166888237, R2 0.561099648475647
Train Epoch21 out_loss 0.5650806427001953, R2 0.5749573707580566
Test Epoch21 layer0 out_loss 0.57274329662323, R2 0.5724998712539673
Test Epoch21 layer1 out_loss 0.5542391538619995, R2 0.5863115787506104
Test Epoch21 layer2 out_loss 0.5380871295928955, R2 0.5983675718307495
Test Epoch21 layer3 out_loss 0.5348808765411377, R2 0.6007606983184814
Test Epoch21 layer4 out_loss 0.5324265956878662, R2 0.6025925874710083
Train Epoch22 out_loss 0.5547289848327637, R2 0.5827440023422241
Test Epoch22 layer0 out_loss 0.5862546563148499, R2 0.5624148845672607
Test Epoch22 layer1 out_loss 0.5944206714630127, R2 0.5563197135925293
Test Epoch22 layer2 out_loss 0.6179011464118958, R2 0.538793683052063
Test Epoch22 layer3 out_loss 0.591071605682373, R2 0.5588195323944092
Test Epoch22 layer4 out_loss 0.6049942374229431, R2 0.5484275221824646
Train Epoch23 out_loss 0.5229617357254028, R2 0.6066386699676514
Test Epoch23 layer0 out_loss 0.5899458527565002, R2 0.5596597790718079
Test Epoch23 layer1 out_loss 0.5770736336708069, R2 0.5692676901817322
Test Epoch23 layer2 out_loss 0.5632055401802063, R2 0.5796189308166504
Test Epoch23 layer3 out_loss 0.5524051189422607, R2 0.587680459022522
Test Epoch23 layer4 out_loss 0.5489541292190552, R2 0.5902563333511353
Train Epoch24 out_loss 0.5247815847396851, R2 0.6052698493003845
Test Epoch24 layer0 out_loss 0.5642434358596802, R2 0.5788442492485046
Test Epoch24 layer1 out_loss 0.5435012578964233, R2 0.594326376914978
Test Epoch24 layer2 out_loss 0.5277276635169983, R2 0.6060999631881714
Test Epoch24 layer3 out_loss 0.529951810836792, R2 0.6044397950172424
Test Epoch24 layer4 out_loss 0.5313370823860168, R2 0.6034058332443237
Train Epoch25 out_loss 0.5131098031997681, R2 0.6140491366386414
Test Epoch25 layer0 out_loss 0.609287440776825, R2 0.5452229976654053
Test Epoch25 layer1 out_loss 0.5881637930870056, R2 0.5609899163246155
Test Epoch25 layer2 out_loss 0.5556991696357727, R2 0.5852217674255371
Test Epoch25 layer3 out_loss 0.5624284148216248, R2 0.5801990032196045
Test Epoch25 layer4 out_loss 0.554447591304779, R2 0.586155891418457
Train Epoch26 out_loss 0.5173537135124207, R2 0.6108566522598267
Test Epoch26 layer0 out_loss 0.5538173317909241, R2 0.586626410484314
Test Epoch26 layer1 out_loss 0.539235532283783, R2 0.5975103378295898
Test Epoch26 layer2 out_loss 0.5310718417167664, R2 0.6036037802696228
Test Epoch26 layer3 out_loss 0.5319708585739136, R2 0.6029328107833862
Test Epoch26 layer4 out_loss 0.5328826308250427, R2 0.6022522449493408
Train Epoch27 out_loss 0.5135281682014465, R2 0.6137341260910034
Test Epoch27 layer0 out_loss 0.7208260297775269, R2 0.461969792842865
Test Epoch27 layer1 out_loss 0.7256277203559875, R2 0.45838576555252075
Test Epoch27 layer2 out_loss 0.7199094295501709, R2 0.4626539349555969
Test Epoch27 layer3 out_loss 0.7492470145225525, R2 0.4407561421394348
Test Epoch27 layer4 out_loss 0.7490492463111877, R2 0.44090378284454346
Train Epoch28 out_loss 0.5142883658409119, R2 0.6131625175476074
Test Epoch28 layer0 out_loss 0.5417341589927673, R2 0.5956453680992126
Test Epoch28 layer1 out_loss 0.5301057696342468, R2 0.6043248772621155
Test Epoch28 layer2 out_loss 0.5241329669952393, R2 0.6087830066680908
Test Epoch28 layer3 out_loss 0.5356959700584412, R2 0.6001522541046143
Test Epoch28 layer4 out_loss 0.5457680225372314, R2 0.5926344394683838
Train Epoch29 out_loss 0.5318248867988586, R2 0.5999720096588135
Test Epoch29 layer0 out_loss 0.5716765522956848, R2 0.573296070098877
Test Epoch29 layer1 out_loss 0.5614031553268433, R2 0.5809642672538757
Test Epoch29 layer2 out_loss 0.557199239730835, R2 0.5841021537780762
Test Epoch29 layer3 out_loss 0.5601288676261902, R2 0.5819153785705566
Test Epoch29 layer4 out_loss 0.5591548085212708, R2 0.5826424360275269
Train Epoch30 out_loss 0.5159971714019775, R2 0.61187744140625
Test Epoch30 layer0 out_loss 0.5533614754676819, R2 0.5869666337966919
Test Epoch30 layer1 out_loss 0.5404677987098694, R2 0.5965905785560608
Test Epoch30 layer2 out_loss 0.5354636311531067, R2 0.6003257036209106
Test Epoch30 layer3 out_loss 0.5370767712593079, R2 0.5991216897964478
Test Epoch30 layer4 out_loss 0.5436416268348694, R2 0.5942215919494629
Train Epoch31 out_loss 0.5154892802238464, R2 0.6122593283653259
Test Epoch31 layer0 out_loss 0.682840883731842, R2 0.49032217264175415
Test Epoch31 layer1 out_loss 0.646953821182251, R2 0.5171085596084595
Test Epoch31 layer2 out_loss 0.6316471695899963, R2 0.5285335779190063
Test Epoch31 layer3 out_loss 0.6424536108970642, R2 0.5204675197601318
Test Epoch31 layer4 out_loss 0.6482129693031311, R2 0.5161687135696411
Train Epoch32 out_loss 0.5168963670730591, R2 0.6112006902694702
Test Epoch32 layer0 out_loss 0.5794186592102051, R2 0.5675173401832581
Test Epoch32 layer1 out_loss 0.5526624917984009, R2 0.5874883532524109
Test Epoch32 layer2 out_loss 0.5685868859291077, R2 0.5756022930145264
Test Epoch32 layer3 out_loss 0.5733641982078552, R2 0.5720364451408386
Test Epoch32 layer4 out_loss 0.5879856944084167, R2 0.5611228942871094
Train Epoch33 out_loss 0.5170142650604248, R2 0.6111122369766235
Test Epoch33 layer0 out_loss 0.5805409550666809, R2 0.5666796565055847
Test Epoch33 layer1 out_loss 0.5612121820449829, R2 0.5811067819595337
Test Epoch33 layer2 out_loss 0.5615812540054321, R2 0.5808312892913818
Test Epoch33 layer3 out_loss 0.5664680600166321, R2 0.5771837830543518
Test Epoch33 layer4 out_loss 0.5704975128173828, R2 0.5741761922836304
Train Epoch34 out_loss 0.5017370581626892, R2 0.6226034164428711
