Start Training
Train Epoch0 out_loss 1.7312620878219604, R2 -0.29501473903656006
Test Epoch0 layer0 out_loss 1.3026624917984009, R2 0.005735039710998535
Test Epoch0 layer1 out_loss 1.3071434497833252, R2 0.002314925193786621
Test Epoch0 layer2 out_loss 1.308222770690918, R2 0.0014910697937011719
Test Epoch0 layer3 out_loss 1.3153067827224731, R2 -0.0039157867431640625
Test Epoch0 layer4 out_loss 1.3116251230239868, R2 -0.0011057853698730469
Test Epoch0 layer5 out_loss 1.3372611999511719, R2 -0.02067267894744873
Test Epoch0 layer6 out_loss 1.3312432765960693, R2 -0.016079425811767578
Test Epoch0 layer7 out_loss 1.3134320974349976, R2 -0.002484917640686035
Test Epoch0 layer8 out_loss 1.3237683773040771, R2 -0.010374069213867188
Train Epoch1 out_loss 1.3400076627731323, R2 -0.0023494958877563477
Test Epoch1 layer0 out_loss 1.2878069877624512, R2 0.01707357168197632
Test Epoch1 layer1 out_loss 1.2993243932724, R2 0.008282840251922607
Test Epoch1 layer2 out_loss 1.3299427032470703, R2 -0.015086770057678223
Test Epoch1 layer3 out_loss 1.3153314590454102, R2 -0.003934621810913086
Test Epoch1 layer4 out_loss 1.317618489265442, R2 -0.005680203437805176
Test Epoch1 layer5 out_loss 1.3159230947494507, R2 -0.004386186599731445
Test Epoch1 layer6 out_loss 1.3109575510025024, R2 -0.000596165657043457
Test Epoch1 layer7 out_loss 1.3112189769744873, R2 -0.0007957220077514648
Test Epoch1 layer8 out_loss 1.3157827854156494, R2 -0.004279136657714844
Train Epoch2 out_loss 1.3379180431365967, R2 -0.0007857084274291992
Test Epoch2 layer0 out_loss 1.2920705080032349, R2 0.013819456100463867
Test Epoch2 layer1 out_loss 1.2877471446990967, R2 0.017119228839874268
Test Epoch2 layer2 out_loss 1.2953428030014038, R2 0.011321783065795898
Test Epoch2 layer3 out_loss 1.3098366260528564, R2 0.0002593994140625
Test Epoch2 layer4 out_loss 1.3065986633300781, R2 0.002730727195739746
Test Epoch2 layer5 out_loss 1.306736946105957, R2 0.0026252269744873047
Test Epoch2 layer6 out_loss 1.308454990386963, R2 0.0013138651847839355
Test Epoch2 layer7 out_loss 1.3092904090881348, R2 0.0006762146949768066
Test Epoch2 layer8 out_loss 1.3115911483764648, R2 -0.0010797977447509766
Train Epoch3 out_loss 1.3260467052459717, R2 0.008093595504760742
Test Epoch3 layer0 out_loss 1.2340600490570068, R2 0.05809628963470459
Test Epoch3 layer1 out_loss 1.2403621673583984, R2 0.053286194801330566
Test Epoch3 layer2 out_loss 1.2586658000946045, R2 0.039315760135650635
Test Epoch3 layer3 out_loss 1.2682485580444336, R2 0.03200167417526245
Test Epoch3 layer4 out_loss 1.2698360681533813, R2 0.03079003095626831
