Start Training
Train Epoch0 out_loss 1.5656250715255737, R2 -0.1794794797897339
Test Epoch0 layer0 out_loss 1.3660446405410767, R2 -0.013237714767456055
Train Epoch1 out_loss 1.3285707235336304, R2 -0.0008921623229980469
Test Epoch1 layer0 out_loss 1.3468027114868164, R2 0.001034557819366455
Train Epoch2 out_loss 1.3296239376068115, R2 -0.0016859769821166992
Test Epoch2 layer0 out_loss 1.346295952796936, R2 0.0014104247093200684
Train Epoch3 out_loss 1.3317837715148926, R2 -0.0033135414123535156
Test Epoch3 layer0 out_loss 1.3508620262145996, R2 -0.0019763708114624023
Train Epoch4 out_loss 1.3313190937042236, R2 -0.0029630661010742188
Test Epoch4 layer0 out_loss 1.349587321281433, R2 -0.0010309219360351562
Train Epoch5 out_loss 1.3270018100738525, R2 0.00028908252716064453
Test Epoch5 layer0 out_loss 1.3552780151367188, R2 -0.005251884460449219
Train Epoch6 out_loss 1.3270306587219238, R2 0.0002676844596862793
Test Epoch6 layer0 out_loss 1.345644235610962, R2 0.0018938779830932617
Train Epoch7 out_loss 1.3280624151229858, R2 -0.0005096197128295898
Test Epoch7 layer0 out_loss 1.3372642993927002, R2 0.008109509944915771
Train Epoch8 out_loss 1.3099076747894287, R2 0.01316744089126587
Test Epoch8 layer0 out_loss 1.260598063468933, R2 0.06497520208358765
Train Epoch9 out_loss 1.1859828233718872, R2 0.10652714967727661
Test Epoch9 layer0 out_loss 1.0323913097381592, R2 0.2342432737350464
Train Epoch10 out_loss 1.020283818244934, R2 0.23135781288146973
Test Epoch10 layer0 out_loss 0.9044137001037598, R2 0.32916826009750366
Train Epoch11 out_loss 0.8825432658195496, R2 0.3351266384124756
Test Epoch11 layer0 out_loss 0.9032318592071533, R2 0.33004486560821533
Train Epoch12 out_loss 0.8599841594696045, R2 0.3521217703819275
Test Epoch12 layer0 out_loss 0.8355286717414856, R2 0.38026243448257446
Train Epoch13 out_loss 0.8336504101753235, R2 0.3719605803489685
Test Epoch13 layer0 out_loss 0.8157414793968201, R2 0.3949391841888428
Train Epoch14 out_loss 0.8241479396820068, R2 0.3791189193725586
Test Epoch14 layer0 out_loss 0.7900025844573975, R2 0.4140305519104004
Train Epoch15 out_loss 0.8161258101463318, R2 0.38516294956207275
Test Epoch15 layer0 out_loss 0.7881783246994019, R2 0.41538363695144653
Train Epoch16 out_loss 0.8135778307914734, R2 0.387082040309906
Test Epoch16 layer0 out_loss 0.7624074220657349, R2 0.43449872732162476
Train Epoch17 out_loss 0.7835624814033508, R2 0.4096948504447937
Test Epoch17 layer0 out_loss 0.7856265306472778, R2 0.41727638244628906
Train Epoch18 out_loss 0.7835777401924133, R2 0.4096829295158386
Test Epoch18 layer0 out_loss 0.771476149559021, R2 0.4277721643447876
Train Epoch19 out_loss 0.7677002549171448, R2 0.42164480686187744
Test Epoch19 layer0 out_loss 0.9073994755744934, R2 0.32695358991622925
Train Epoch20 out_loss 0.7635394930839539, R2 0.42477935552597046
Test Epoch20 layer0 out_loss 0.7626602053642273, R2 0.43431127071380615
Train Epoch21 out_loss 0.7633650898933411, R2 0.4249109625816345
Test Epoch21 layer0 out_loss 0.7278375029563904, R2 0.46014028787612915
Train Epoch22 out_loss 0.7547776699066162, R2 0.43138039112091064
Test Epoch22 layer0 out_loss 0.7872481346130371, R2 0.41607362031936646
Train Epoch23 out_loss 0.7518914341926575, R2 0.4335547685623169
Test Epoch23 layer0 out_loss 0.7864003777503967, R2 0.41670238971710205
Train Epoch24 out_loss 0.7522532939910889, R2 0.43328219652175903
Test Epoch24 layer0 out_loss 0.7662710547447205, R2 0.431632936000824
Train Epoch25 out_loss 0.7341233491897583, R2 0.4469403624534607
Test Epoch25 layer0 out_loss 0.7873340845108032, R2 0.4160098433494568
Train Epoch26 out_loss 0.7396054863929749, R2 0.4428098797798157
Test Epoch26 layer0 out_loss 0.698574960231781, R2 0.4818452000617981
Train Epoch27 out_loss 0.7131845951080322, R2 0.4627147912979126
Test Epoch27 layer0 out_loss 0.6908647418022156, R2 0.4875641465187073
Train Epoch28 out_loss 0.6952230334281921, R2 0.47624653577804565
Test Epoch28 layer0 out_loss 0.6734585762023926, R2 0.5004748106002808
Train Epoch29 out_loss 0.6994572281837463, R2 0.4730560779571533
Test Epoch29 layer0 out_loss 0.6552596688270569, R2 0.513973593711853
Train Epoch30 out_loss 0.7016562223434448, R2 0.47140002250671387
Test Epoch30 layer0 out_loss 0.7506098747253418, R2 0.44324934482574463
Train Epoch31 out_loss 0.6826180219650269, R2 0.4857422709465027
Test Epoch31 layer0 out_loss 0.6379885673522949, R2 0.5267840623855591
Train Epoch32 out_loss 0.677971601486206, R2 0.4892430305480957
Test Epoch32 layer0 out_loss 0.8105137944221497, R2 0.39881670475006104
Train Epoch33 out_loss 0.6842572689056396, R2 0.48450767993927
Test Epoch33 layer0 out_loss 0.7132396101951599, R2 0.47096800804138184
Train Epoch34 out_loss 0.6846410632133484, R2 0.4842183589935303
Test Epoch34 layer0 out_loss 0.6999940872192383, R2 0.4807926416397095
Train Epoch35 out_loss 0.6588072180747986, R2 0.5036805868148804
Test Epoch35 layer0 out_loss 0.6491261720657349, R2 0.5185229778289795
Train Epoch36 out_loss 0.6726099848747253, R2 0.4932824969291687
Test Epoch36 layer0 out_loss 0.8381440043449402, R2 0.3783225417137146
Train Epoch37 out_loss 0.673293948173523, R2 0.49276643991470337
Test Epoch37 layer0 out_loss 0.7066612839698792, R2 0.47584736347198486
Train Epoch38 out_loss 0.6514815092086792, R2 0.5091996192932129
Test Epoch38 layer0 out_loss 0.6184159517288208, R2 0.5413016676902771
Train Epoch39 out_loss 0.6415285468101501, R2 0.5166972875595093
Test Epoch39 layer0 out_loss 0.6019770503044128, R2 0.553494930267334
Train Epoch40 out_loss 0.6398555040359497, R2 0.5179576873779297
Test Epoch40 layer0 out_loss 0.6937580704689026, R2 0.48541808128356934
