Start Training
Train Epoch0 out_loss 1.5181703567504883, R2 -0.13277864456176758
Test Epoch0 layer0 out_loss 1.2958518266677856, R2 0.0007441043853759766
Test Epoch0 layer1 out_loss 1.297723650932312, R2 -0.0006992816925048828
Test Epoch0 layer2 out_loss 1.2957444190979004, R2 0.0008269548416137695
Train Epoch1 out_loss 1.3393839597702026, R2 0.0006223320960998535
Test Epoch1 layer0 out_loss 1.2987912893295288, R2 -0.001522660255432129
Test Epoch1 layer1 out_loss 1.3014930486679077, R2 -0.003605961799621582
Test Epoch1 layer2 out_loss 1.2990018129348755, R2 -0.0016849040985107422
Train Epoch2 out_loss 1.3362354040145874, R2 0.0029718875885009766
Test Epoch2 layer0 out_loss 1.2925673723220825, R2 0.0032767653465270996
Test Epoch2 layer1 out_loss 1.2909824848175049, R2 0.004498958587646484
Test Epoch2 layer2 out_loss 1.2914865016937256, R2 0.004110276699066162
Train Epoch3 out_loss 1.3362083435058594, R2 0.0029914379119873047
Test Epoch3 layer0 out_loss 1.3073550462722778, R2 -0.008126258850097656
Test Epoch3 layer1 out_loss 1.3063195943832397, R2 -0.0073277950286865234
Test Epoch3 layer2 out_loss 1.2973402738571167, R2 -0.0004036426544189453
Train Epoch4 out_loss 1.3326530456542969, R2 0.0056449174880981445
Test Epoch4 layer0 out_loss 1.3578128814697266, R2 -0.04703521728515625
Test Epoch4 layer1 out_loss 1.2935012578964233, R2 0.0025566816329956055
Test Epoch4 layer2 out_loss 1.29896879196167, R2 -0.001659393310546875
Train Epoch5 out_loss 1.3267090320587158, R2 0.010080397129058838
Test Epoch5 layer0 out_loss 1.2786706686019897, R2 0.013992846012115479
Test Epoch5 layer1 out_loss 1.2897465229034424, R2 0.0054520368576049805
Test Epoch5 layer2 out_loss 1.2864254713058472, R2 0.008012950420379639
Train Epoch6 out_loss 1.2967710494995117, R2 0.0324171781539917
Test Epoch6 layer0 out_loss 1.2632713317871094, R2 0.0258675217628479
Test Epoch6 layer1 out_loss 1.2637995481491089, R2 0.025460243225097656
Test Epoch6 layer2 out_loss 1.2625809907913208, R2 0.026399850845336914
Train Epoch7 out_loss 1.279625415802002, R2 0.0452113151550293
Test Epoch7 layer0 out_loss 1.3620915412902832, R2 -0.05033457279205322
Test Epoch7 layer1 out_loss 1.307335376739502, R2 -0.008111119270324707
Test Epoch7 layer2 out_loss 1.3052467107772827, R2 -0.0065004825592041016
Train Epoch8 out_loss 1.2938470840454102, R2 0.03460019826889038
Test Epoch8 layer0 out_loss 1.2621662616729736, R2 0.026719748973846436
Test Epoch8 layer1 out_loss 1.252909779548645, R2 0.033857524394989014
Test Epoch8 layer2 out_loss 1.2702100276947021, R2 0.020517051219940186
Train Epoch9 out_loss 1.0765286684036255, R2 0.19675195217132568
Test Epoch9 layer0 out_loss 0.9143707752227783, R2 0.29491138458251953
Test Epoch9 layer1 out_loss 0.9157924652099609, R2 0.29381507635116577
Test Epoch9 layer2 out_loss 0.9093428254127502, R2 0.29878854751586914
Train Epoch10 out_loss 0.8750578165054321, R2 0.34707844257354736
Test Epoch10 layer0 out_loss 0.7495095133781433, R2 0.4220390319824219
Test Epoch10 layer1 out_loss 0.747332751750946, R2 0.42371755838394165
Test Epoch10 layer2 out_loss 0.7622445225715637, R2 0.4122188091278076
Train Epoch11 out_loss 0.782793402671814, R2 0.4159206748008728
Test Epoch11 layer0 out_loss 0.7515313029289246, R2 0.420479953289032
Test Epoch11 layer1 out_loss 0.7594543099403381, R2 0.41437041759490967
Test Epoch11 layer2 out_loss 0.7516732811927795, R2 0.42037051916122437
Train Epoch12 out_loss 0.76938796043396, R2 0.4259234666824341
Test Epoch12 layer0 out_loss 0.7375044822692871, R2 0.43129634857177734
Test Epoch12 layer1 out_loss 0.739740788936615, R2 0.42957186698913574
Test Epoch12 layer2 out_loss 0.7480964064598083, R2 0.42312872409820557
Train Epoch13 out_loss 0.7569485902786255, R2 0.43520504236221313
Test Epoch13 layer0 out_loss 0.6978870630264282, R2 0.46184611320495605
Test Epoch13 layer1 out_loss 0.7176226377487183, R2 0.4466276168823242
Test Epoch13 layer2 out_loss 0.7283125519752502, R2 0.43838441371917725
Train Epoch14 out_loss 0.741949737071991, R2 0.44639623165130615
Test Epoch14 layer0 out_loss 0.689784824848175, R2 0.4680938720703125
Test Epoch14 layer1 out_loss 0.703211784362793, R2 0.45774006843566895
Test Epoch14 layer2 out_loss 0.7074825167655945, R2 0.45444685220718384
Train Epoch15 out_loss 0.7244887351989746, R2 0.4594249129295349
Test Epoch15 layer0 out_loss 0.7787770628929138, R2 0.3994702696800232
Test Epoch15 layer1 out_loss 0.7990652322769165, R2 0.3838256597518921
Test Epoch15 layer2 out_loss 0.766291618347168, R2 0.4090980291366577
Train Epoch16 out_loss 0.7063126564025879, R2 0.47298693656921387
Test Epoch16 layer0 out_loss 0.6713666319847107, R2 0.4822964668273926
Test Epoch16 layer1 out_loss 0.6644958257675171, R2 0.4875946640968323
Test Epoch16 layer2 out_loss 0.6670224666595459, R2 0.4856463670730591
Train Epoch17 out_loss 0.6975308060646057, R2 0.4795394539833069
Test Epoch17 layer0 out_loss 0.6390594840049744, R2 0.5072091221809387
Test Epoch17 layer1 out_loss 0.6314127445220947, R2 0.5131056308746338
Test Epoch17 layer2 out_loss 0.6215140223503113, R2 0.5207387804985046
Train Epoch18 out_loss 0.6889214515686035, R2 0.4859633445739746
Test Epoch18 layer0 out_loss 0.6529431343078613, R2 0.49650317430496216
Test Epoch18 layer1 out_loss 0.6392263770103455, R2 0.5070804357528687
Test Epoch18 layer2 out_loss 0.6443056464195251, R2 0.5031636953353882
Train Epoch19 out_loss 0.676244854927063, R2 0.49542176723480225
Test Epoch19 layer0 out_loss 0.7001028060913086, R2 0.4601374864578247
Test Epoch19 layer1 out_loss 0.6540579795837402, R2 0.4956434965133667
Test Epoch19 layer2 out_loss 0.635898232460022, R2 0.5096468925476074
Train Epoch20 out_loss 0.6557305455207825, R2 0.5107285976409912
Test Epoch20 layer0 out_loss 0.6049451231956482, R2 0.5335153341293335
Test Epoch20 layer1 out_loss 0.6051003336906433, R2 0.5333956480026245
Test Epoch20 layer2 out_loss 0.5822145938873291, R2 0.5510432720184326
Train Epoch21 out_loss 0.6110304594039917, R2 0.544081449508667
Test Epoch21 layer0 out_loss 0.5639141798019409, R2 0.5651551485061646
Test Epoch21 layer1 out_loss 0.5625126361846924, R2 0.5662358403205872
Test Epoch21 layer2 out_loss 0.5649064183235168, R2 0.5643899440765381
Train Epoch22 out_loss 0.5791800618171692, R2 0.5678465366363525
Test Epoch22 layer0 out_loss 0.5658904910087585, R2 0.5636311769485474
Test Epoch22 layer1 out_loss 0.6120211482048035, R2 0.5280588865280151
Test Epoch22 layer2 out_loss 0.6127643585205078, R2 0.5274858474731445
Train Epoch23 out_loss 0.5942842364311218, R2 0.5565766096115112
Test Epoch23 layer0 out_loss 0.5968025326728821, R2 0.5397942662239075
Test Epoch23 layer1 out_loss 0.5792132616043091, R2 0.5533576607704163
Test Epoch23 layer2 out_loss 0.5643599033355713, R2 0.5648113489151001
Train Epoch24 out_loss 0.583684504032135, R2 0.5644854307174683
Test Epoch24 layer0 out_loss 0.5422795414924622, R2 0.5818379521369934
Test Epoch24 layer1 out_loss 0.5357316732406616, R2 0.5868871808052063
