Start Training
Train Epoch0 out_loss 1.4654074907302856, R2 -0.10640096664428711
Test Epoch0 layer0 out_loss 1.3580869436264038, R2 0.0012760162353515625
Test Epoch0 layer1 out_loss 1.3596183061599731, R2 0.00014990568161010742
Train Epoch1 out_loss 1.325171947479248, R2 -0.0005214214324951172
Test Epoch1 layer0 out_loss 1.374522089958191, R2 -0.010810256004333496
Test Epoch1 layer1 out_loss 1.3872740268707275, R2 -0.020187854766845703
Train Epoch2 out_loss 1.3206099271774292, R2 0.002922654151916504
Test Epoch2 layer0 out_loss 1.3334609270095825, R2 0.01938575506210327
Test Epoch2 layer1 out_loss 1.3418872356414795, R2 0.013189136981964111
Train Epoch3 out_loss 1.3167320489883423, R2 0.0058512091636657715
Test Epoch3 layer0 out_loss 1.435228943824768, R2 -0.05545341968536377
Test Epoch3 layer1 out_loss 1.379683017730713, R2 -0.014605522155761719
Train Epoch4 out_loss 1.322586178779602, R2 0.0014308691024780273
Test Epoch4 layer0 out_loss 1.3551228046417236, R2 0.0034558773040771484
Test Epoch4 layer1 out_loss 1.3541022539138794, R2 0.004206359386444092
Train Epoch5 out_loss 1.3200526237487793, R2 0.0033434033393859863
Test Epoch5 layer0 out_loss 1.3535007238388062, R2 0.004648685455322266
Test Epoch5 layer1 out_loss 1.3551181554794312, R2 0.0034592747688293457
Train Epoch6 out_loss 1.3156834840774536, R2 0.006642460823059082
Test Epoch6 layer0 out_loss 1.3176727294921875, R2 0.030996263027191162
Test Epoch6 layer1 out_loss 1.3435782194137573, R2 0.011945605278015137
Train Epoch7 out_loss 1.303855061531067, R2 0.01557314395904541
Test Epoch7 layer0 out_loss 1.375212550163269, R2 -0.011317968368530273
Test Epoch7 layer1 out_loss 1.3568257093429565, R2 0.002203524112701416
Train Epoch8 out_loss 1.2037557363510132, R2 0.09114938974380493
Test Epoch8 layer0 out_loss 0.9772570133209229, R2 0.28133469820022583
Test Epoch8 layer1 out_loss 1.0128589868545532, R2 0.2551532983779907
Train Epoch9 out_loss 0.8148476481437683, R2 0.38477981090545654
Test Epoch9 layer0 out_loss 0.948179304599762, R2 0.3027181029319763
Test Epoch9 layer1 out_loss 0.942084789276123, R2 0.30719995498657227
Train Epoch10 out_loss 0.7594007253646851, R2 0.4266427159309387
Test Epoch10 layer0 out_loss 0.7089086771011353, R2 0.4786754250526428
Test Epoch10 layer1 out_loss 0.7286351919174194, R2 0.4641687273979187
Train Epoch11 out_loss 0.7163076400756836, R2 0.4591789245605469
Test Epoch11 layer0 out_loss 0.6927743554115295, R2 0.49054044485092163
Test Epoch11 layer1 out_loss 0.6908672451972961, R2 0.4919429421424866
Train Epoch12 out_loss 0.6824092864990234, R2 0.48477262258529663
Test Epoch12 layer0 out_loss 0.7619819641113281, R2 0.43964582681655884
Test Epoch12 layer1 out_loss 0.7365424036979675, R2 0.4583538770675659
Train Epoch13 out_loss 0.6643539667129517, R2 0.4984046220779419
Test Epoch13 layer0 out_loss 0.6836336851119995, R2 0.4972624182701111
Test Epoch13 layer1 out_loss 0.6683164834976196, R2 0.5085265636444092
Train Epoch14 out_loss 0.6278359293937683, R2 0.5259760022163391
Test Epoch14 layer0 out_loss 0.6137969493865967, R2 0.5486196279525757
